GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aegispatrimonio,br.com.aegispatrimonio,AegispatrimonioApplication,5,3,0,0,2,1,1,1,1,1
aegispatrimonio,br.com.aegispatrimonio.exception,ApplicationControllerAdvice,0,19,0,0,0,4,0,3,0,3
aegispatrimonio,br.com.aegispatrimonio.exception,SecurityExceptionHandler,82,8,0,0,18,2,2,1,2,1
aegispatrimonio,br.com.aegispatrimonio.exception,ResourceConflictException,0,4,0,0,0,2,0,1,0,1
aegispatrimonio,br.com.aegispatrimonio.exception,RestExceptionHandler,12,3,0,0,2,1,2,1,2,1
aegispatrimonio,br.com.aegispatrimonio.exception,NotFoundException,9,0,0,0,4,0,2,0,2,0
aegispatrimonio,br.com.aegispatrimonio.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
aegispatrimonio,br.com.aegispatrimonio.exception,DuplicateException,9,0,0,0,4,0,2,0,2,0
aegispatrimonio,br.com.aegispatrimonio.exception,GlobalExceptionHandler,14,24,0,0,2,4,2,4,2,4
aegispatrimonio,br.com.aegispatrimonio.repository,FilialSpecification,57,0,8,0,9,0,7,0,3,0
aegispatrimonio,br.com.aegispatrimonio.repository,TipoAtivoSpecification,61,0,8,0,9,0,7,0,3,0
aegispatrimonio,br.com.aegispatrimonio.repository,ManutencaoSpecification,147,0,22,0,24,0,14,0,3,0
aegispatrimonio,br.com.aegispatrimonio.repository,AtivoSpecification,109,0,14,0,18,0,10,0,3,0
aegispatrimonio,br.com.aegispatrimonio.mapper,FornecedorMapper,0,67,0,4,0,24,0,5,0,3
aegispatrimonio,br.com.aegispatrimonio.mapper,AtivoMapper,0,86,0,10,0,24,0,8,0,3
aegispatrimonio,br.com.aegispatrimonio.mapper,DepartamentoMapper,0,32,0,4,0,12,0,5,0,3
aegispatrimonio,br.com.aegispatrimonio.mapper,FuncionarioMapper,0,57,0,10,0,14,0,7,0,2
aegispatrimonio,br.com.aegispatrimonio.mapper,LocalizacaoMapper,0,48,0,6,0,16,0,6,0,3
aegispatrimonio,br.com.aegispatrimonio.mapper,TipoAtivoMapper,0,35,0,4,0,10,0,5,0,3
aegispatrimonio,br.com.aegispatrimonio.mapper,FilialMapper,0,55,0,4,0,20,0,5,0,3
aegispatrimonio,br.com.aegispatrimonio.mapper,HealthCheckMapper,0,130,0,6,0,35,0,8,0,5
aegispatrimonio,br.com.aegispatrimonio.model,Status,0,15,0,0,0,3,0,1,0,1
aegispatrimonio,br.com.aegispatrimonio.model,CategoriaContabil,0,21,0,0,0,4,0,1,0,1
aegispatrimonio,br.com.aegispatrimonio.model,TipoAtivo,35,41,0,2,7,10,10,10,10,9
aegispatrimonio,br.com.aegispatrimonio.model,Departamento,122,37,15,1,8,10,20,8,12,8
aegispatrimonio,br.com.aegispatrimonio.model,Disco,102,45,14,0,4,8,15,13,8,13
aegispatrimonio,br.com.aegispatrimonio.model,Memoria,96,31,14,0,4,6,15,9,8,9
aegispatrimonio,br.com.aegispatrimonio.model,Filial,84,120,9,9,5,18,14,21,6,20
aegispatrimonio,br.com.aegispatrimonio.model,StatusAtivo,0,27,0,0,0,5,0,1,0,1
aegispatrimonio,br.com.aegispatrimonio.model,AdaptadorRede,93,24,14,0,4,5,15,7,8,7
